Composer,Title,Instrumentation,Comments,Played,Condition
"Adam, Adolphe",Cantique de Noel or O Holy Night arr. (high voice),,,,
Albinoni,Concerto for 2 Oboes and Orchestra,,,,
"Anderson, L",A Christmas Festival,,no score,,
"Arnold, Malcolm",Piano Concerto,,photocopies - not in print any longer,,
"Bach, CPE",Erst Orchester Sinfonie,,,,
"Bach, JC",Sinfonia in D,,,,
"Bach, JS",Brandenburgisches Konzert Nr. 1,,,,
"Bach, JS",Brandenburgisches Konzert Nr. 2,,,,
"Bach, JS",Brandenburgisches Konzert Nr. 3,,,,
"Bach, JS",Brandenburgisches Konzert Nr. 4,,,,
"Bach, JS",Brandenburgisches Konzert Nr. 5,,,,
"Bach, JS",Concerto No. 1 in C Minor 2 pia str + contin.,,,,
"Bach, JS",Double Vln. Concerto in D Minor (2 vln & piano),,,,
"Bach, JS",Easter Oratorio Sinfonia,,,,
"Bach, JS","Kantate Nr. 81 Jesus schlaft, ich Hoffen",,,,
"Bach, JS",Overture Suite No. 1,,,,
"Bach, JS",Overture Suite No. 3,,,,
"Bach, JS",Overture Suite No. 4,,,,
"Bach, JS",Sheep May Safely Graze,,,,
"Baker, Michael",Concerto for Harp,,,,
"Barber, S","First Essay for Orchestra, Op 12",,,,
"Bartok, B",Romanian Folk Dances,,,,
"Beethoven, L",Choral Fantasy Op. 80,,,,
"Beethoven, L",Overture Coriolanus Op. 62,,,,
"Beethoven, L",Overture Egmont Op. 84,,,,
"Beethoven, L",Overture Fidelio,,,,
"Beethoven, L","Overture Leonore Nos. 1,2 and 3",,,,
"Beethoven, L",Piano Concerto No. 1,,,,
"Beethoven, L",Piano Concerto No. 2,,,,
"Beethoven, L",Piano Concerto No. 3,,,,
"Beethoven, L",Piano Concerto No. 4,,,,
"Beethoven, L",Piano Concerto No. 5,,,,
"Beethoven, L",Symphony #1 in C Op. 21,,,,
"Beethoven, L",Symphony #2 in D Major,,,,
"Beethoven, L",Symphony #3 (Eroica),,,,
"Beethoven, L",Symphony #4 in B Major,,,,
"Beethoven, L",Symphony #5 in C Minor,,imslp score,,
"Beethoven, L",Symphony #6 in F Major,,,,
"Beethoven, L",Symphony #7 in A Major,,,,
"Beethoven, L","Symphony #8 in F Major, Op. 93",,,,
"Beethoven, L",Violin Concerto,,,,
"Berlioz, H",Childhood of Christ A Sacred Trilogy,,,,
"Berlioz, H",Le Nuits d'Ete,,,,
"Bizet, G",Symphony No. 1 in C Major,,,,
Blake,Horn Piece,,photocopies only,,
"Block, Jerry",Fiddler on the Roof,,,,
"Borodine, A",Polovetsian Dances 8 & 17 from Prince Igor,,,,
"Boyce, WM",Symphony No. 5 in D Major,,,,
"Brahms, J",Concerto Double Violin & Cello,,,,
"Brahms, J",Concerto Piano No. 1,,,,
"Brahms, J",Concerto Piano No. 2,,,,
"Brahms, J",Overture Academic Festival,,,,
"Brahms, J",Serenade No. 1 in D Major Op. 11,,,,
"Brahms, J",Serenade No. 2 in A Op. 16,,,,
"Brahms, J",Symphony No. 1 in C Major,,3rd Movement only,,
"Brahms, J",Symphony No. 2,,"all copies, some string parts not readable",,
"Brahms, J",Symphony No. 3,,,,
"Brahms, J",Symphony No. 4 in E Major,,,,
"Brahms, J",Tragic Overture in D Minor Op. 81,,no score?,,
"Bridge, F",Divertimenti for Flute Oboe Clarinet and Bassoon,,,,
"Britten, B",Soirees Musicales Suite of 5 mov. from Rossini,,,,
Bruckner,Cristus Factus Est (brass choral arr.),,,,
"Castelnuovo, L",Guitar Concerto in D,,,,
"Chabrier, E",Espana Rhapsody,,,,
"Charpentier, G",Louise - Depuis le jour,,no score - photocopies (ww parts unreadable faded 'cutouts' fr. a score),,
"Cimarosa, D",Three Brothers Ove from opera: Horatii/Curiattii,,,,
"Coates, E",Saxo-Rhapsody,,,,
"Copland, A",Fanfare for the Common Man,,,,
"Corelli, A","Concerto Grossi for Str/Cem Op. 6 Nos. 6,7,8 and 11",,Strings and cymbals,,
"Corelli, A",Sarabande & Allegro,,missing parts,,
"Cotterall, G",Heritage Ballet You and I,,photocopies,,
"Coulthard, J",Canada Mosaic,,photocopies,,
"Debussy, C",Afternoon of a Faun,,,,
"Debussy, C",Danses 1. Sacree 2. Profane,,Harp & strings,,
"Debussy, C",Nocturens Three,,,,
"Delius, F",La Calinda dance from opera 'Koanga',,no score,,
"Diemer, E",Rondo Concertante for Orchestra,,,,
"Djawadi, R./Moore (arr.)",Game of Thrones - movie music,on loan to Jin Zhang Nov./19 (rtd.),"1 full score, strings (97557) piano, percussion",,
"Dvorak, A",New World Symphony #9,,,,
"Dvorak, A",Serenade for Strings in E Minor Op. 2,,Strings only,,
"Dvorak, A",Serenade for Winds in D Minor Op. 44,,,,
"Dvorak, A",Slovanic Dances 1 to 4 Op. 72,,Strings only,,
"Dvorak, A",Slovanic Dances 5 to 8 Op. 72,,Winds only - missing parts,,
"Dvorak, A",Symphony #5 (old #3) in F Op. 76,,"score copy, mostly faded (throw out?)",,
"Dvorak, A",Symphony #6 Op. 60 in D,,,,
"Dvorak, A",Symphony #7 Op. 70 in D Minor,,,,
"Dvorak, A",Violin Concerto in A Minor,,,,
"Enesco, G",Roumainian Rhapsody No. 1 Op. 11,,,,
"Enesco, G",Roumanian Rhapsody No. 2 Op. 2,,,,
"Erickson, F",Air for Orchestra,,,,
Faure,Masque Bergamesque,,,,
Faure,Pavane,,,,
Francaix,L'Horloge de Flore for Oboe & Strings,,no Violin 2 - poor single copies other parts - no Oboe,,
"Franck, C",Variations Symphoniques for Piano & Orchestra,,,,
"Freed, A",Alleluia for Orchestra,,,,
"Gaos, Andres",Impression Nocturne por Orchestre,,,,
Gershwin,Rhapsody in Blue,,,,
"Giannini, V",Symphony #2,,,,
"Gillis, Don",Intermission Ten Minutes,,*score?,,
"Giordano, V",Andrea Chenier Monologue for Gerard (Baritone),,,,
Gluck,Alceste for Orchestra,,no score,,
"Grieg, E",Heart Wounds,,,,
"Grieg, E",Holberg Suite,,Strings,,
"Grieg, E",Norwegian Dances,,,,
"Grieg, E",Peer Gynt Suite #1,,,,
"Grieg, E",Peer Gynt Suite #1,,,,
"Handel, GF",Concerto for Orchestra in D Major,,,,
"Handel, GF",Concerto Grosso #5,,,,
"Handel, GF",Faramondo Overture,,,,
"Handel, GF",Organ Concerto #6 in Bb Major,,,,
"Handel, GF",Rejoice Greatly (Messiah),,Mozart version,,
"Haydn, F",Divertimento St. Anthony's Choral,,,,
"Haydn, F",L'Isola Disabitata,,,,
"Haydn, F",London Symphony #98,,*score?,,
"Haydn, F",Sinfonie Concertante,,Vlc Clr Obo Bsn,,
"Haydn, F",Surprise Symphonie #94,,,,
"Haydn, F",Symphonie #101,,,,
"Haydn, F",Symphonie #104,,,,
"Haydn, F",Symphonie #26,,,,
"Haydn, F",Symphonie #43,,,,
"Haydn, F",Symphonie #63 La Roxelane,,,,
"Haydn, F",Symphonie #70,,,,
"Haydn, F",Symphonie #77 in Bb Major,,,,
"Haydn, F",Symphonie #83,,,,
"Haydn, F",Symphonie #84,,no score,,
"Haydn, F",Symphonie #86,,,,
"Haydn, F",Symphonie #87,,,,
"Haydn, F",Symphonie #92 in G Major,,,,
"Haydn, F",Symphonie #99,,,,
"Haydn, F",The Creation,,,,
Hindemith,Tuauermusick,,,,
"Holesovsky, J",Prologue Hymn and Dance,,,,
"Holst, G",Christmas Day,,,,
"Holst, G",In the Bleak Midwinter,,,,
"Hovhaness, Alan",Prelude & Quadruple Fugue for Orchestra,,,,
Humperdink,Evening Prayer/Dream Pantomime (Hansel & Gretel),,,,
Ibert,Duex Movements for Flt Clr Bsn,,,,
Ippolitow-Iwanow,Procession of the Sardar,,,,
Janacek,Suite,,,,
"Jarnefelt, A",Praeludium,,,,
"Johnson, Donald",4th Symphony,,photocopies,,
"Kabalevsky, D",Colas Breugnon Overture,,,,
Keler-Bela,Hungarian Comedy Overture,,,,
"Kelly, E",Symphony in Eb,,,,
"Ketelby, A",With the Roumanian Gypsies - Phantasie,,,,
"Khachaturian, A (arr.)",Gayane - Selections from the ballet,,,,
"Kolodub, L",Ukrainian-Carpathian Rhapsody No. 1 for Orchestra,,,,
"Lehar, Franz",Ziguenerliebe,,,,
Liszt,Piano Concerto #1,,,,
"Lucas, Gordon",Oboe Concerto,,no score,,
Mahler,Adagietto for Strings,,no harp score photocopy,,
Mahler,Symphonie #1,,,,
Mahler,Symphonie #5,,,,
"Malipiero, G",Sonata A Quatro for Flt Obo Clr Bsn,,,,
"Marx, J",Minuet from Suite in F Major,,,,
"Massenet, J",Cendriillon Suite No. 7 March of the Princess,,,,
"McKay, G",Variants on a Texas Tune,,,,
"Mehler, F",3 Swedish Folk Dances,,*score?,,
Mendelssohn,Midsummer Night's Dream Overture,,mix of theatre and concert editions - compatible except for letters,,
Mendelssohn,Piano Concerto #1,,,,
Mendelssohn,Sinfonia VI - Eb,,,,
Mendelssohn,Symphony #3,,,,
Mendelssohn,Symphony #4 (Italian),,,,
Mendelssohn,Symphony #5,,,,
Mendelssohn,Verlein uns Frieden Cantata,,,,
"Menotti, G-C","Intro, March & Shepherd's Dance",,,,
Moussorsky,Intro to opera Khovanchina,,,,
"Mozart, W",Adagio - Wind Sextet,,,,
"Mozart, W",Adagio in E for Violin & Orchestra,,,,
"Mozart, W",Divertimento #1,,,,
"Mozart, W",Don Giovanni - Arias #12 & #17,,,,
"Mozart, W",Horn Concerto #3,,,,
"Mozart, W",Horn Concerto #4 (Doug Spence Memorial),,,,
"Mozart, W",Magic Flute Overture,,,,
"Mozart, W","Motette: Exsultate, Jubilate",,,,
"Mozart, W",Overture Symphony No. 32,,,,
"Mozart, W",Overture to Il Seraglio,,,,
"Mozart, W",Piano Concerto #17,,2012 photocopies-not good,,
"Mozart, W",Piano Concerto #20,,,,
"Mozart, W",Piano Concerto #24,,,,
"Mozart, W",Piano Concerto #27 Bb Major K595,,,,
"Mozart, W",Rondo Fur die Violine,,,,
"Mozart, W",Sinfonia Concertante K Anh 1/9 (Konzertantes Quartett),,,,
"Mozart, W",Symphony No. 29,,,,
"Mozart, W",Symphony No. 36 in C,,,,
"Mozart, W",Symphony No. 38 'Prague',,,,
"Mozart, W",Symphony No. 41 'Jupiter',,,,
"Nelhybel, V",Music for Orchestra,,*score?,,
"Offenbach, J",Bluebeard - Paraphrase on the Operetta,,,,
"Offenbach, J",Overture La Perichole,,,,
"Pachelbel, J",Canon for 3 Vln Vlc/Bas Cem,,,,
"Piston, W",Three Pieces for Flt Clr Bsn,,,,
"Piston, W",Variations on a Theme by EB Hill,,,,
"Prokofieff, S",Classical Symphony,,,,
"Prokofiev, S",Lieutenant Kije Suite,on loan to NWSO Aug. /19 (rtd.),,,
"Prokofieff, S",Overture to War and Peace,,,,
"Prokofieff, S",Symphony #7,,,,
"Prokofieff, S",The Love of 3 Oranges Suite,,,,
Puccini,Preludio Sinfonico,,,,
"Purcell, H",Suite Lambert Comus,,,,
"Ravel, M",Pavane pour en Infante Defunte,,,,
"Reed, Alfred",A Festival Prelude for Orchestra,,,,
"Rimsky-Korsakov, N",Capriccio Espagnol,,photocopies *score?,,
"Rimsky-Korsakov, N",Scheherazade Op. 35,,no score,,
"Rimsky-Korsakov, N",Suite de Opera 'Le Coq D'Or',,,,
"Rodgers, Richard",The King and I (selections),,,,
"Rossini, G",Barber of Seville Overture,,*score?,,
"Rossini, G",Il Signor Bruschino Overture,,score only,,
"Rossini, G","Intro, Theme & Variations: Clarinet and Orchestra",,,,
"Rossini, G",Overture L'Italiana in Alger,,,,
"Rossini, G",Overture to William Tell,,,,
"Rossini, G",Semiramide Overture,,,,
"Rossini, G",Soirees Musicales (arr. Britten),,,,
"Saint-Saens, C",Piano Concerto #2,,,,
"Sarasate, P",Navara Op. 33,,,,
"Schaeffer, Don (arr.)",Christmas Collection for Band Instruments,,"C, F, Bb and Bass Inst. at back",,
"Schubert, F",5 German Dances and 7 Trios,,Vln/Vln/Vla/Vcl,,
"Schubert, F",Symphony No. 1,,,,
"Schubert, F",Symphony No. 5,,*score?,,
"Schubert, F",Symphony No. 8 (Unfinished),,,,
"Schumann, R",Overture to Genoveva,,,,
"Schumann, R",Overture to Manfred,,,,
"Schumann, R",Symphony No. 4,,,,
"Shostakovich, D",Festive Overture,,photocopy - score only,,
"Shostakovich, D",Suite Golden Age,,,,
"Shostakovich, D",Symphony No. 5 Op. 47 D,,,,
"Shostakovich, D",Symphony No. 9 Op. 70 Eb,,,,
"Sibelius, J",Finlandia (Tone Poem),,,,
"Sibelius, J",Romance in C Op. 42,,strings only,,
"Sibelius, J",Symphony No. 2,,good full score - bad photocopied parts discarded,,
"Sibelius, J",Symphony No. 3 (Dritte Symphonie),,,,
"Sibelius, J",Symphony No. 6,,,,
"Sibelius, J",The Swan of Tuonela,,,,
"Sibelius, J",Violin Concerto in D Major,,,,
"Sousa, JP",El Capitan March,,,,
"Spohr, L",Concerto No. 2 in D Minor for Violin,,,,
"Spohr, L",Jessonda Overture,,,,
"Stamitz, K",Concerto for Clarinet B Minor,,,,
"Stevens, B",Eclogue for small Orchestra,,,,
"Strauss, R",Fledermaus - Champagne Trio,,,,
"Strauss, R",Horn Concerto,,,,
"Strauss, R",Laughing Song and Overture - Die Fledermaus,,,,
"Strauss, R",Serenade,,,,
"Strauss, R",Tod und Verklarung,,,,
Stravinsky (arr.),Bercuese & Finale - Firebird,,,,
Sullivan,Gondoliers 1.Overture 2.Dance a Cachuca 3.Royal Queen 4. Quintetto & Finale,,,,
Tartini-Bonelli,Concerto in A Major for Archi Obo Horn,,,,
"Tedesco, Castelnuovo",Guitar Concerto,,,,
Telemann,Concerto #5 in C Minor for Obo Str,,,,
"Tschaikowsky, P",Piano Concerto #1 in Bb,,,,
"Tschaikowsky, P",Romeo & Juliette Overture,,,,
"Tschaikowsky, P",Swan Lake Suite Op. 20A,,,,
"Tschaikowsky, P",Symphony No. 1,,,,
"Tschaikowsky, P",Symphony No. 4,,,,
"Tschaikowsky, P",Symphony No. 5,,,,
"Tschaikowsky, P",Symphony No. 6,,,,
"Verdi, G",Overture La forza del Destino,,,,
"Verdi, G",Overture Nabucco,,,,
Villa-Lobos,Quatour Flt Obo Clr BSn,,,,
"Vivaldi, A",Concerto Bassoon Bb Major,,,,
"Vivaldi, A",Concerto Bassoon D Major,,photocopies,,
"Vivaldi, A",Concerto for 2 Flutes,,photocopies,,
"Vivaldi, A",Concerto Grosso in D Major,,,,
"Vivaldi, A",Concerto in D 2-Vln 2-Vlc,,photocopies,,
"Vivaldi, A",The Seasons Op. 8 No. 1 (Spring-Summer-Fall-Winter),,,,
"Wagner, R",Elsa's Procession to the Cathedral,,,,
"Wagner, R",Parsifal Good Friday Music,,,,
"Wagner, R",Parsifal Procession of the Grail,,,,
"Wagner, R",Prelude to Act 1 Lohengrin,,,,
"Wagner, R",Siegfied Idyll,,missing?,,
"Wagner, R",Walter's Prize Song,,,,
"Walton, W",A Shakespeare Suite Richard III,,,,
"Weber, CM",Clarinet Concerto No. 1 F Minor,,,,
"Weber, CM",Overture Euryanthe,,,,
"Weisgarber, E",Pacific Trilogy,,score in misc. drawer,,
"Wesley, Samuel",Symphony #5 in A Major,,last classical early Romantic,,
"Wieniawski, H",Violin Concerto #2,,no score,,
"Williams, Grace",Fantasia on Welsh Nursery Tunes,,,,
"Wilson, Cam",The Sea & the Bells,,commissioned by VPO in memory of Wallace Leung Feb 2004 Premiere,,
"Wise, Ari",Elegy,,,,